"year","time","AREA","vehicletheft","theft","rape","burglary","robbery","vandalism"
2020,"Afternoon",1,172,882,9,467,165,330
2020,"Afternoon",2,277,685,5,291,157,300
2020,"Afternoon",3,276,909,11,282,201,325
2020,"Afternoon",4,357,561,5,236,70,238
2020,"Afternoon",5,281,669,6,287,62,276
2020,"Afternoon",6,224,1012,5,360,126,313
2020,"Afternoon",7,210,1108,1,532,119,270
2020,"Afternoon",8,199,1154,4,636,53,249
2020,"Afternoon",9,278,940,3,399,63,247
2020,"Afternoon",10,184,792,7,362,61,205
2020,"Afternoon",11,290,864,4,422,78,251
2020,"Afternoon",12,402,614,14,286,335,389
2020,"Afternoon",13,430,552,9,323,181,347
2020,"Afternoon",14,314,1294,8,538,83,296
2020,"Afternoon",15,292,1060,4,428,81,269
2020,"Afternoon",16,278,614,3,243,58,216
2020,"Afternoon",17,194,1090,4,395,49,184
2020,"Afternoon",18,345,624,12,232,232,319
2020,"Afternoon",19,309,736,7,252,80,221
2020,"Afternoon",20,240,822,11,320,120,278
2020,"Afternoon",21,178,1007,1,364,76,188
2020,"Before_noon",1,116,515,8,234,92,275
2020,"Before_noon",2,136,401,5,171,81,167
2020,"Before_noon",3,158,558,11,189,106,243
2020,"Before_noon",4,220,356,2,103,49,148
2020,"Before_noon",5,138,370,3,141,51,197
2020,"Before_noon",6,99,555,5,237,64,190
2020,"Before_noon",7,102,530,4,249,60,180
2020,"Before_noon",8,81,661,4,297,34,142
2020,"Before_noon",9,144,486,3,168,35,165
2020,"Before_noon",10,124,474,4,183,36,131
2020,"Before_noon",11,184,542,2,227,44,180
2020,"Before_noon",12,276,433,11,195,163,268
2020,"Before_noon",13,334,357,5,171,115,180
2020,"Before_noon",14,178,754,2,294,59,202
2020,"Before_noon",15,147,597,2,221,38,173
2020,"Before_noon",16,169,327,7,168,34,128
2020,"Before_noon",17,116,512,2,203,33,137
2020,"Before_noon",18,210,339,3,139,130,189
2020,"Before_noon",19,210,409,2,128,56,125
2020,"Before_noon",20,140,502,3,172,84,193
2020,"Before_noon",21,111,495,2,225,37,99
2020,"Morning",1,87,229,30,339,122,249
2020,"Morning",2,113,144,17,180,105,186
2020,"Morning",3,172,188,22,199,79,197
2020,"Morning",4,170,157,10,144,42,163
2020,"Morning",5,160,238,9,229,48,189
2020,"Morning",6,79,323,18,278,108,191
2020,"Morning",7,83,213,11,283,49,123
2020,"Morning",8,91,348,4,352,21,130
2020,"Morning",9,110,274,4,281,35,149
2020,"Morning",10,123,249,13,270,36,129
2020,"Morning",11,120,226,7,218,42,149
2020,"Morning",12,222,215,19,215,169,234
2020,"Morning",13,227,182,14,234,102,198
2020,"Morning",14,141,374,13,334,59,156
2020,"Morning",15,150,283,12,381,38,162
2020,"Morning",16,137,123,9,177,39,119
2020,"Morning",17,104,247,8,231,26,108
2020,"Morning",18,166,172,23,174,124,205
2020,"Morning",19,154,197,10,209,44,144
2020,"Morning",20,130,242,17,337,91,185
2020,"Morning",21,93,203,9,236,31,104
2020,"Night",1,200,520,22,751,183,491
2020,"Night",2,422,435,16,377,183,342
2020,"Night",3,449,530,22,327,183,365
2020,"Night",4,544,336,5,250,106,313
2020,"Night",5,495,462,15,309,102,351
2020,"Night",6,297,648,15,470,151,343
2020,"Night",7,248,565,11,564,127,278
2020,"Night",8,265,663,13,624,73,227
2020,"Night",9,346,607,4,455,91,262
2020,"Night",10,326,496,14,426,89,250
2020,"Night",11,435,554,7,425,71,269
2020,"Night",12,665,434,25,327,287,498
2020,"Night",13,596,395,15,344,200,391
2020,"Night",14,419,890,14,607,87,314
2020,"Night",15,386,722,12,569,94,334
2020,"Night",16,390,402,5,246,62,254
2020,"Night",17,268,597,7,426,73,209
2020,"Night",18,557,408,16,312,243,405
2020,"Night",19,506,458,17,273,99,314
2020,"Night",20,367,542,20,468,153,297
2020,"Night",21,293,605,14,442,78,243
2021,"Afternoon",1,250,1066,22,553,263,369
2021,"Afternoon",2,305,765,10,246,162,274
2021,"Afternoon",3,321,977,21,297,177,312
2021,"Afternoon",4,328,614,6,173,90,281
2021,"Afternoon",5,317,684,5,253,76,312
2021,"Afternoon",6,268,1196,9,455,172,374
2021,"Afternoon",7,271,1257,5,433,156,255
2021,"Afternoon",8,190,1278,10,572,63,285
